Ticket ID,Customer ID,Customer Name,Email Address,Phone Number,Support Issue Category,Issue Description,Ticket Priority,Ticket Status,Support Representative,Resolution Description,Resolution Date,Ticket Created Date,Ticket Closed Date,Customer Satisfaction Rating,Follow-up Status,Customer Location,Product ID (Linked to Issue),Communication Channel,Escalation Level,Resolution Time,Assigned Team
I2V5QRNQ,UYL28VIN,Customer_FZESH,1MAME@example.com,+1-2393201801,Refund,Issue description for order 4H1QITNMFS,Low,In Progress,Representative_YVGLQ,Resolution for order 4H1QITNMFS,2023-12-15,2023-12-20,2023-12-30,3,Completed,Location_ZBWD3,K7MHOIW2,Chat,Level 1,1,Team_XCI
4CVPZS65,U4DO90DL,Customer_BRKGI,OMB2P@example.com,+1-5209072499,Feedback,Issue description for order 2JYPIRHGYD,Medium,Closed,Representative_1RHNB,Resolution for order 2JYPIRHGYD,2023-12-15,2023-12-10,2023-12-30,5,Pending,Location_04UGC,YDPCYWXE,Phone,Level 1,8,Team_Z9B
ILUL9E2Y,CLZMACTQ,Customer_0KRQR,HGU0K@example.com,+1-9727228884,Inquiry,Issue description for order 5QPF95M7LL,Low,Open,Representative_K7PZN,Resolution for order 5QPF95M7LL,2023-12-10,2023-12-10,2023-12-30,5,Pending,Location_2IKSB,SHE1EA19,Phone,Level 1,2,Team_HZF
1T3M5PKX,KT8ATX5F,Customer_G2FHL,0SMG7@example.com,+1-1096079478,Complaint,Issue description for order VQPKVSV106,High,Open,Representative_QG025,Resolution for order VQPKVSV106,2023-12-10,2023-12-10,2023-12-10,4,Completed,Location_JIFMJ,DJGQXO3D,Chat,Level 1,7,Team_SVL
AHDYBRZF,VXOKX5NB,Customer_N9M5Z,K96GT@example.com,+1-9408568331,Feedback,Issue description for order 0HZ42AY8YQ,High,In Progress,Representative_4W3HZ,Resolution for order 0HZ42AY8YQ,2023-12-10,2023-12-20,2023-12-30,4,Pending,Location_0DKTD,BCQF0SY3,Phone,Level 2,7,Team_8ZL
RQVDR4MP,NMKZJPCA,Customer_9ZTI8,OCZ5T@example.com,+1-5889428076,Complaint,Issue description for order GTJ1PJEIT1,Low,Open,Representative_MV3EE,Resolution for order GTJ1PJEIT1,2023-12-20,2023-12-10,2023-12-30,4,Completed,Location_J9PW8,J2ZNKENB,Phone,Level 1,10,Team_078
TYKIROPY,147BKU1F,Customer_0BJK6,3S73K@example.com,+1-9226564468,Complaint,Issue description for order K0J9ABUPEF,Low,In Progress,Representative_ZFCIE,Resolution for order K0J9ABUPEF,2023-12-15,2023-12-20,2023-12-30,5,Completed,Location_WBZ9E,CS77NZ45,Email,Level 3,9,Team_SN1
X4IE6DD2,RR6BM96C,Customer_K595I,N2OIU@example.com,+1-4171875329,Inquiry,Issue description for order D2DIL45TUA,Low,Closed,Representative_ZV2KX,Resolution for order D2DIL45TUA,2023-12-15,2023-12-20,2023-12-10,2,Completed,Location_0NOD2,ZQPWM2KP,Phone,Level 1,1,Team_Z65
XYMXMHLY,UYJZN6YY,Customer_58FZ2,L8L0G@example.com,+1-5880326914,Feedback,Issue description for order TM3OSVLKB9,High,Open,Representative_A2OTX,Resolution for order TM3OSVLKB9,2023-12-15,2023-12-20,2023-12-30,1,Completed,Location_L948B,3QOVAS6G,Chat,Level 3,10,Team_UOK
QJT73F27,X6JA7GXF,Customer_YPM2D,M3U4R@example.com,+1-7269848005,Inquiry,Issue description for order EB0Z6P0NE7,High,Closed,Representative_ZME0F,Resolution for order EB0Z6P0NE7,2023-12-20,2023-12-20,2023-12-25,4,Pending,Location_F6B03,E43YWMMW,Phone,Level 2,4,Team_GPZ
T9KM8OLX,WLEFTJ0T,Customer_LC5Z7,QXNSC@example.com,+1-3630028875,Complaint,Issue description for order GR79RUVEOL,Medium,In Progress,Representative_ZJ4OW,Resolution for order GR79RUVEOL,2023-12-15,2023-12-10,2023-12-10,1,Completed,Location_93T9G,DIR91ZLY,Email,Level 1,8,Team_7A1
BJEML3FX,XT8YYGG7,Customer_WNYGQ,UO0MT@example.com,+1-6477778245,Feedback,Issue description for order P0TJURACU9,High,Open,Representative_I5HDI,Resolution for order P0TJURACU9,2023-12-10,2023-12-01,2023-12-10,2,Pending,Location_CAKKZ,8CT6A10P,Phone,Level 3,3,Team_V3W
3HN7QUH5,OV9W4F1F,Customer_8VVO9,GYSMA@example.com,+1-6818281164,Refund,Issue description for order M2J0TUJBXV,Low,Open,Representative_9XOSV,Resolution for order M2J0TUJBXV,2023-12-20,2023-12-10,2023-12-10,5,Completed,Location_90D9J,BCV4VZVU,Email,Level 2,10,Team_7RG
ZRNBA2ZJ,Q5DGQ235,Customer_6C4TP,E21A9@example.com,+1-8875568554,Feedback,Issue description for order SJOQYYLR6X,High,In Progress,Representative_0LNXZ,Resolution for order SJOQYYLR6X,2023-12-15,2023-12-01,2023-12-30,1,Pending,Location_5FH38,4RDTR9U4,Chat,Level 2,1,Team_O0E
N3F1ATZF,MWEAJQSO,Customer_SGCOF,WZIQA@example.com,+1-8540974717,Inquiry,Issue description for order F01F7UXFR4,High,In Progress,Representative_S5XST,Resolution for order F01F7UXFR4,2023-12-15,2023-12-01,2023-12-10,5,Completed,Location_OG8HR,SE3HI41W,Phone,Level 2,6,Team_E3O
Y3C4JRQD,O5CB4BNU,Customer_8VZXB,97F33@example.com,+1-9684731213,Feedback,Issue description for order 86VCCZYTW8,Medium,Open,Representative_YAV6N,Resolution for order 86VCCZYTW8,2023-12-10,2023-12-10,2023-12-30,5,Pending,Location_I2JQZ,IV5LFZ9S,Phone,Level 1,4,Team_U5O
0HWOZ4UR,JVNDZHGU,Customer_WOPN4,G1YH7@example.com,+1-3958609130,Inquiry,Issue description for order 3880S4HXLY,High,Closed,Representative_YGMPB,Resolution for order 3880S4HXLY,2023-12-10,2023-12-01,2023-12-30,4,Pending,Location_W05XJ,F1J9042D,Email,Level 3,8,Team_1RN
0WMIIQM7,VBZMO98F,Customer_FES0E,KXLIG@example.com,+1-8241217147,Complaint,Issue description for order 295MVYS3XR,Low,Open,Representative_E5ZJP,Resolution for order 295MVYS3XR,2023-12-20,2023-12-20,2023-12-25,5,Completed,Location_J17L6,PISW2ITT,Chat,Level 1,5,Team_E5R
2I4SH6TE,4UVGIYXZ,Customer_U7WMP,TQNW6@example.com,+1-1817706940,Inquiry,Issue description for order M3W87GM9IC,Medium,In Progress,Representative_836IQ,Resolution for order M3W87GM9IC,2023-12-15,2023-12-10,2023-12-10,5,Completed,Location_5ZM56,90XXM1K8,Chat,Level 1,2,Team_FX4
0RWAFYN0,GTBU8G9S,Customer_NPQIW,YZV4L@example.com,+1-3963383516,Inquiry,Issue description for order 8DZ41U9T4S,Low,Closed,Representative_DIN0N,Resolution for order 8DZ41U9T4S,2023-12-10,2023-12-20,2023-12-10,1,Pending,Location_N1YH5,A7NJ46NE,Email,Level 2,6,Team_QDX
KN1PO54Z,EDOUVZBV,Customer_OZ0X2,7XFJF@example.com,+1-8834417437,Inquiry,Issue description for order 4WXADAJDHY,Low,Closed,Representative_H273T,Resolution for order 4WXADAJDHY,2023-12-20,2023-12-01,2023-12-25,3,Completed,Location_6WA4P,KS6Y1W5S,Chat,Level 1,2,Team_MG9
6BLVG7KS,BO8HN5PU,Customer_VDDLG,26HNK@example.com,+1-3306630657,Inquiry,Issue description for order YC68QBHBGH,Low,Closed,Representative_Y39GZ,Resolution for order YC68QBHBGH,2023-12-10,2023-12-01,2023-12-30,5,Completed,Location_XR2EH,PVOAM43I,Email,Level 2,3,Team_MFE
N6KNAY3C,3BQ99NNA,Customer_P5S97,DPJ0Q@example.com,+1-3838104631,Complaint,Issue description for order 2WBCSJ0U9E,High,In Progress,Representative_MR94L,Resolution for order 2WBCSJ0U9E,2023-12-20,2023-12-01,2023-12-25,1,Completed,Location_NC9DB,M72K1FI4,Chat,Level 2,1,Team_LZ9
BMC6OL5O,R378EF4K,Customer_ES5PZ,OMTD2@example.com,+1-7860497045,Refund,Issue description for order TZKPKHLET5,Low,Closed,Representative_DRTOB,Resolution for order TZKPKHLET5,2023-12-15,2023-12-01,2023-12-25,1,Pending,Location_XZFQ9,AWVHY372,Chat,Level 3,2,Team_MY1
LCV1AW4G,KJHFZ9DH,Customer_ZE95P,YYZLB@example.com,+1-9910844922,Complaint,Issue description for order 3KBTJ7FL0L,Low,Open,Representative_TKSU1,Resolution for order 3KBTJ7FL0L,2023-12-15,2023-12-01,2023-12-10,3,Pending,Location_4DKHL,8RFN9MF9,Chat,Level 1,3,Team_22D
5U7NZKYC,HELN5DT7,Customer_AG58U,C2W4I@example.com,+1-3310567842,Inquiry,Issue description for order J7H9EW0MD8,Low,Open,Representative_2BKGQ,Resolution for order J7H9EW0MD8,2023-12-15,2023-12-01,2023-12-30,5,Completed,Location_TUYL4,ON2UIS04,Phone,Level 2,8,Team_P99
TCZA07YZ,A3TKRXQV,Customer_VJDN4,SFQWA@example.com,+1-7731944201,Complaint,Issue description for order Y29VN354X8,High,Open,Representative_0H7BZ,Resolution for order Y29VN354X8,2023-12-10,2023-12-01,2023-12-30,4,Pending,Location_WYBZJ,RCO4EL5E,Chat,Level 2,10,Team_P5O
I3UL9CIS,E0STLAI1,Customer_CIAOD,IIWBO@example.com,+1-8329705772,Feedback,Issue description for order 16NKJDKECP,High,Closed,Representative_WEH98,Resolution for order 16NKJDKECP,2023-12-20,2023-12-01,2023-12-25,3,Completed,Location_UHB4P,WHJJPRQT,Phone,Level 2,3,Team_SP7
MBATB1OZ,J18DF073,Customer_CO1BE,G7TXY@example.com,+1-6996823033,Inquiry,Issue description for order D6TOGEMWMT,High,Closed,Representative_ZZ2OH,Resolution for order D6TOGEMWMT,2023-12-20,2023-12-10,2023-12-25,1,Pending,Location_Y4510,M0Z89LE6,Chat,Level 3,10,Team_8H7
XSZ2RF9P,YBB1PDZK,Customer_3N86M,DH9OS@example.com,+1-9135062400,Inquiry,Issue description for order 6P1V9DFPNH,High,Closed,Representative_7OGLK,Resolution for order 6P1V9DFPNH,2023-12-10,2023-12-20,2023-12-10,2,Completed,Location_I8MSZ,DP5PP760,Chat,Level 2,6,Team_Y2O
4USFE2LH,R0QJT5JQ,Customer_BNRZJ,C65NO@example.com,+1-6646839897,Inquiry,Issue description for order ONG13OD775,Low,Closed,Representative_888W6,Resolution for order ONG13OD775,2023-12-15,2023-12-01,2023-12-30,1,Completed,Location_WVT6W,LCW057MY,Phone,Level 3,10,Team_GJO
71J2G8AB,B5SCG9L0,Customer_QIM5F,C885Z@example.com,+1-6599802304,Feedback,Issue description for order 8ZKXPJ90TX,Medium,Closed,Representative_962A7,Resolution for order 8ZKXPJ90TX,2023-12-20,2023-12-10,2023-12-10,3,Completed,Location_NVAT4,GXWDEKHL,Phone,Level 3,4,Team_KOU
F93NG1ML,LOW7RTMW,Customer_VDT3T,1W20V@example.com,+1-4707795420,Refund,Issue description for order QC5GPZ78G2,High,Closed,Representative_K86A3,Resolution for order QC5GPZ78G2,2023-12-10,2023-12-20,2023-12-30,2,Pending,Location_621PG,WWDUQXKP,Chat,Level 2,6,Team_9NN
RR7KTLJ6,WZSZIGLA,Customer_YONVX,TTB0E@example.com,+1-7921599066,Complaint,Issue description for order ENLUDT66B8,Low,In Progress,Representative_HS5JF,Resolution for order ENLUDT66B8,2023-12-10,2023-12-10,2023-12-30,5,Completed,Location_BWKKJ,E7C7JHZI,Email,Level 2,10,Team_PGE
DZH5SAZO,RWN6WZQR,Customer_9IPCR,ASK7T@example.com,+1-9700297442,Complaint,Issue description for order U7FOTHCNGG,Medium,Closed,Representative_WTHP9,Resolution for order U7FOTHCNGG,2023-12-20,2023-12-01,2023-12-30,2,Completed,Location_3LILL,SA89P94O,Chat,Level 3,3,Team_16H
KGNDQFNZ,53BJWVNO,Customer_1IJ7B,07K8N@example.com,+1-4063349421,Feedback,Issue description for order YABJGS0IBM,Low,In Progress,Representative_0IKDF,Resolution for order YABJGS0IBM,2023-12-10,2023-12-20,2023-12-30,1,Pending,Location_5BK41,Y225JP5F,Email,Level 2,7,Team_WW8
6UK7KPKE,XFHGZQ8H,Customer_4A8SL,0DWJ9@example.com,+1-2008193790,Complaint,Issue description for order YTA62WS9N6,Medium,In Progress,Representative_R8D41,Resolution for order YTA62WS9N6,2023-12-10,2023-12-10,2023-12-10,3,Pending,Location_4KHF1,YA4EOM1I,Phone,Level 2,4,Team_MEZ
COJPK6JT,8S60S2EJ,Customer_92ZX1,OC2TQ@example.com,+1-5137355639,Refund,Issue description for order OWS1622FMN,High,Open,Representative_QL88K,Resolution for order OWS1622FMN,2023-12-10,2023-12-10,2023-12-30,1,Completed,Location_3M2RO,MAOIO7SW,Chat,Level 2,8,Team_Y9K
TI3V5Q9E,1PWXHFSV,Customer_EUQMD,U7ATO@example.com,+1-2209561652,Refund,Issue description for order 5IGGPR74SW,Medium,Closed,Representative_FXIUU,Resolution for order 5IGGPR74SW,2023-12-20,2023-12-10,2023-12-10,4,Completed,Location_VONQV,96LHB0WE,Chat,Level 1,10,Team_2NY
87GNQLEJ,8MLXGYWB,Customer_ZN3MF,6X21X@example.com,+1-9088233794,Refund,Issue description for order P28HHMOSJP,Low,Closed,Representative_SEHK3,Resolution for order P28HHMOSJP,2023-12-20,2023-12-10,2023-12-25,5,Completed,Location_G3Y7S,79DYQK2K,Phone,Level 2,7,Team_UF4
RYXYMOJR,MY0KXY2K,Customer_OY438,9H8CX@example.com,+1-5645213521,Complaint,Issue description for order RA3ALQLDLP,High,In Progress,Representative_BFU63,Resolution for order RA3ALQLDLP,2023-12-20,2023-12-20,2023-12-30,3,Pending,Location_PZ4VA,84T0HBAE,Chat,Level 2,1,Team_VDG
9S0AKIVA,D48G5W80,Customer_1YZZF,UKM3B@example.com,+1-5030061235,Feedback,Issue description for order JL08GXYLEN,High,Open,Representative_RRVIQ,Resolution for order JL08GXYLEN,2023-12-10,2023-12-10,2023-12-25,3,Pending,Location_BQ528,GTLKY7YD,Phone,Level 2,2,Team_QYE
R2PFFD8D,2OCPMW5G,Customer_2DUSQ,J2YXQ@example.com,+1-4770486449,Refund,Issue description for order O83PBF6I3O,Low,In Progress,Representative_ZC1YW,Resolution for order O83PBF6I3O,2023-12-10,2023-12-20,2023-12-25,4,Completed,Location_TWNTZ,MOAXPFG1,Phone,Level 3,6,Team_0CJ
O9ZZ0LVG,7U49Y7OP,Customer_THZM5,CVTIM@example.com,+1-4932390232,Complaint,Issue description for order KBZUINIOOJ,High,In Progress,Representative_CQUJH,Resolution for order KBZUINIOOJ,2023-12-20,2023-12-01,2023-12-30,3,Pending,Location_KWO7X,F4JDUGNS,Phone,Level 3,5,Team_QZ4
CFN68QOR,LGMUWUWW,Customer_RUC8F,H4F3O@example.com,+1-3984549580,Refund,Issue description for order Q4WBYJJNJW,Medium,Open,Representative_G69I9,Resolution for order Q4WBYJJNJW,2023-12-15,2023-12-01,2023-12-10,5,Pending,Location_ZEUCG,5VW2GN5U,Email,Level 2,1,Team_7VZ
XT8VL2HZ,ZCTQ3O7T,Customer_P1D4V,44U0Z@example.com,+1-6788836859,Refund,Issue description for order MYDLDYXCKM,High,Closed,Representative_JILH9,Resolution for order MYDLDYXCKM,2023-12-15,2023-12-20,2023-12-10,1,Pending,Location_HPCQY,G0VQKVKN,Email,Level 3,10,Team_1H9
E60SZMQY,ZHZE3Y54,Customer_6QA98,7FSVP@example.com,+1-5308645472,Refund,Issue description for order A7YV9G83FZ,Low,Open,Representative_YDKLJ,Resolution for order A7YV9G83FZ,2023-12-20,2023-12-20,2023-12-10,1,Completed,Location_GO79B,1YGM5YOK,Email,Level 1,2,Team_IHO
G2LOM8HD,R4X1EVMW,Customer_SZGX5,JS98D@example.com,+1-7193952899,Inquiry,Issue description for order MVFAOKWLRE,Medium,Closed,Representative_X32EB,Resolution for order MVFAOKWLRE,2023-12-10,2023-12-01,2023-12-10,2,Pending,Location_N8GAM,J8JEMJ8Y,Phone,Level 2,6,Team_50Y
T2BGHSMX,ZZI9EDMP,Customer_WSZJV,O6R38@example.com,+1-1373569691,Refund,Issue description for order 6Y7XDB5XIO,Low,In Progress,Representative_YK922,Resolution for order 6Y7XDB5XIO,2023-12-10,2023-12-01,2023-12-10,4,Pending,Location_RIASA,HDH8Y0O8,Email,Level 3,3,Team_165
AYUITNWT,VKIFX9ES,Customer_PEJSL,E445U@example.com,+1-7335152828,Complaint,Issue description for order G7A9B5YRG7,Low,Closed,Representative_N30RD,Resolution for order G7A9B5YRG7,2023-12-15,2023-12-01,2023-12-30,5,Completed,Location_PE2B2,QXVYMJGG,Phone,Level 2,5,Team_82S
3RKZWMZK,XMTG8K0T,Customer_PCT35,B5QNF@example.com,+1-1541218392,Feedback,Issue description for order Q8M0Y5CESV,Medium,Closed,Representative_8FOHB,Resolution for order Q8M0Y5CESV,2023-12-20,2023-12-20,2023-12-10,4,Pending,Location_XMJIH,3N1VVAUY,Phone,Level 2,9,Team_UAF
P4SZ7V6M,4X5TECBA,Customer_Y6J6Y,OGF74@example.com,+1-2686886226,Inquiry,Issue description for order SZ1C5ZQ1W7,High,Open,Representative_J45B8,Resolution for order SZ1C5ZQ1W7,2023-12-10,2023-12-20,2023-12-25,5,Completed,Location_NDGI2,I3VH11N4,Phone,Level 2,10,Team_MAU
4T694LYU,G7HSQ97B,Customer_JSZII,ID93M@example.com,+1-5410453011,Complaint,Issue description for order 1U19NY7KHV,Low,In Progress,Representative_FEVEM,Resolution for order 1U19NY7KHV,2023-12-20,2023-12-01,2023-12-25,4,Pending,Location_KU9CW,5T2CMTMX,Email,Level 2,9,Team_RTG
Y1H3EPRA,GKASZ7NR,Customer_QH1S2,DOAI9@example.com,+1-6695448570,Inquiry,Issue description for order ZGNTXT0557,High,In Progress,Representative_TE116,Resolution for order ZGNTXT0557,2023-12-15,2023-12-01,2023-12-10,2,Completed,Location_BY6HG,7Z70M4OU,Phone,Level 3,10,Team_JTJ
XK52JB3U,7F6XI9M8,Customer_GSW8G,VZLUG@example.com,+1-9119425260,Refund,Issue description for order EPEZFQUFJG,Low,In Progress,Representative_IWTOK,Resolution for order EPEZFQUFJG,2023-12-10,2023-12-10,2023-12-30,2,Pending,Location_XRXQ7,NKWFCGGG,Email,Level 2,5,Team_65T
B890YLUI,4Y5LMLFO,Customer_PT1RG,GH5WK@example.com,+1-3473371051,Complaint,Issue description for order 6JWDI6BT6J,Low,Open,Representative_YXCDZ,Resolution for order 6JWDI6BT6J,2023-12-20,2023-12-20,2023-12-25,2,Pending,Location_3NU7X,OAH66DHH,Email,Level 3,3,Team_BY7
YRVW4DO5,0POW6VBP,Customer_K73K6,PNBPD@example.com,+1-3924073266,Feedback,Issue description for order 5YS853YFP6,High,Closed,Representative_GP2NY,Resolution for order 5YS853YFP6,2023-12-10,2023-12-20,2023-12-30,2,Pending,Location_I31P1,O5TC4GYP,Phone,Level 3,1,Team_F3E
QCNPW6FT,Q0L7NBS3,Customer_NL59L,APOKR@example.com,+1-5853898602,Complaint,Issue description for order TGL3YY0A36,Low,Open,Representative_90I50,Resolution for order TGL3YY0A36,2023-12-10,2023-12-01,2023-12-10,1,Completed,Location_W3H83,ZGAT5BHU,Email,Level 3,2,Team_TWB
2L3RA235,NJNOIULB,Customer_UUJDY,RTBHU@example.com,+1-5361663305,Complaint,Issue description for order LM5YHKO9JH,High,In Progress,Representative_B8RYT,Resolution for order LM5YHKO9JH,2023-12-15,2023-12-10,2023-12-25,5,Completed,Location_TZGM9,97TKATC1,Chat,Level 2,5,Team_BFQ
B5901BQV,XRPL4SFF,Customer_P9BR7,79NS8@example.com,+1-4780139056,Complaint,Issue description for order J8OGKIS8T1,High,Closed,Representative_YPRGT,Resolution for order J8OGKIS8T1,2023-12-20,2023-12-20,2023-12-25,3,Completed,Location_GXQFJ,ZVK6QC9M,Email,Level 2,1,Team_NP8
N79T88HL,QVGDDHQP,Customer_LJ9Z6,CDV5F@example.com,+1-4069796260,Feedback,Issue description for order X705Y95X0H,High,Closed,Representative_8XSXB,Resolution for order X705Y95X0H,2023-12-20,2023-12-20,2023-12-25,5,Pending,Location_MWEO4,SCA5RW8H,Email,Level 2,4,Team_SZ6
46GHGLCT,34KYMBTT,Customer_ABPP0,33VWY@example.com,+1-3752234766,Refund,Issue description for order SC48PFVRSZ,Medium,Open,Representative_6QR9A,Resolution for order SC48PFVRSZ,2023-12-15,2023-12-10,2023-12-10,3,Pending,Location_4Q7OT,GTNOPGEN,Chat,Level 1,9,Team_EWR
6T2KGPEJ,20XFFEZB,Customer_WHM3P,8A72X@example.com,+1-4239635390,Feedback,Issue description for order PB5BQXSAJC,Low,Closed,Representative_2JBAP,Resolution for order PB5BQXSAJC,2023-12-20,2023-12-01,2023-12-30,4,Completed,Location_AZW29,OE0USJW5,Phone,Level 3,4,Team_L0N
9AJ13SX2,IX60G6CZ,Customer_EW14I,Q3K87@example.com,+1-5748880885,Inquiry,Issue description for order 1C9SCB0P4N,Low,Open,Representative_8V0OJ,Resolution for order 1C9SCB0P4N,2023-12-15,2023-12-10,2023-12-10,3,Completed,Location_KJXB7,M6RASU68,Chat,Level 3,2,Team_SQP
LGSCSAXT,K7Z5XMT1,Customer_2TMWB,242TA@example.com,+1-6628340418,Complaint,Issue description for order OGQ0XUXRTV,Low,Open,Representative_HN6XZ,Resolution for order OGQ0XUXRTV,2023-12-10,2023-12-01,2023-12-25,3,Pending,Location_64E0O,USKU6LOU,Email,Level 2,9,Team_XVN
I4HTAPL9,EMP4XKZ9,Customer_IWWOQ,3J4AZ@example.com,+1-7181984360,Feedback,Issue description for order BNN4RRWVLN,High,Open,Representative_O80IO,Resolution for order BNN4RRWVLN,2023-12-20,2023-12-10,2023-12-25,2,Completed,Location_RL6DR,7OVFZRUB,Chat,Level 2,8,Team_LQJ
8UIKHOJT,VBWYI786,Customer_3ZDT7,RYCG2@example.com,+1-8795480005,Inquiry,Issue description for order JQ28G7T1TQ,Medium,In Progress,Representative_0KJ51,Resolution for order JQ28G7T1TQ,2023-12-15,2023-12-10,2023-12-30,4,Completed,Location_7S8XW,9IDE3ETO,Chat,Level 1,8,Team_SSE
BZQZLZFW,X2EC66SG,Customer_WI498,HTYOP@example.com,+1-8545040111,Feedback,Issue description for order 4Q4QVGRF2I,Low,In Progress,Representative_VMDAQ,Resolution for order 4Q4QVGRF2I,2023-12-10,2023-12-01,2023-12-10,2,Completed,Location_Q9F4P,PEI1SEPJ,Phone,Level 3,5,Team_OEK
VGPW04GL,UXQLB3EV,Customer_OSO4O,KXUF4@example.com,+1-3785622554,Refund,Issue description for order B87IGY257U,Medium,Open,Representative_ECL2M,Resolution for order B87IGY257U,2023-12-10,2023-12-20,2023-12-30,3,Pending,Location_VXZD4,R1YB7WVS,Phone,Level 2,7,Team_ARQ
SK9SGBP1,ZSI8A25P,Customer_M0ZJ5,852X6@example.com,+1-5044289467,Complaint,Issue description for order RTYYO1TJUC,High,Open,Representative_23IBD,Resolution for order RTYYO1TJUC,2023-12-10,2023-12-20,2023-12-25,2,Pending,Location_OI937,VF9HUO8Y,Email,Level 1,2,Team_VED
