Order ID,Tracking ID,Shipment Mode,Shipping Address,Customer Email,Delivery Date,Order Value,Product Description,Shipment Status,Order Total,Tracking URL,Product ID,Return Status,Estimated Delivery Date,Delivery Time Window,Shipping Carrier,Customs Clearance Status,Tracking Events,Shipment Cost
5QPF95M7LL,UZ0G79OE,Land,"VASPE6EL5R Street, City, Country",6K1HW@example.com,2023-12-20,150.78,Product_UNPFB,In Transit,440.24,www.example.com/U7KX1,R162PBXK,Returned,2023-12-10,8:00 - 13:00,FedEx,Pending,Event_BML26,40.0
VQPKVSV106,1QRW9392,Land,"SC4QKRXT69 Street, City, Country",O7UWI@example.com,2023-12-15,285.93,Product_9SUED,Shipped,470.16,www.example.com/G462J,XT91WYSI,Returned,2023-12-15,9:00 - 13:00,UPS,Pending,Event_RG3CL,41.53
0HZ42AY8YQ,S7SXXQ7E,Air,"5WF2TADRIX Street, City, Country",JSZQR@example.com,2023-12-10,343.78,Product_N2DLY,Shipped,643.41,www.example.com/IJTNZ,Y5Z4ZYMH,Returned,2023-12-10,11:00 - 13:00,UPS,Pending,Event_SIRMS,34.73
GTJ1PJEIT1,68LCYKO9,Air,"W43DKK3Q9V Street, City, Country",JZGPT@example.com,2023-12-10,200.78,Product_8LILA,Delivered,186.37,www.example.com/8G51V,RTX1XI9E,Not Returned,2023-12-15,8:00 - 13:00,FedEx,Pending,Event_AJU86,15.21
K0J9ABUPEF,N9I2VY1T,Land,"RC8KBRBXSO Street, City, Country",3RJWU@example.com,2023-12-10,53.6,Product_MQUP2,In Transit,819.54,www.example.com/LWQVR,UA1A3EU9,Not Returned,2023-12-10,10:00 - 16:00,DHL,Cleared,Event_NK384,17.72
D2DIL45TUA,PFRMXI5G,Air,"YVFIE8D4YH Street, City, Country",KCQVZ@example.com,2023-12-20,355.4,Product_WKHJ6,Shipped,839.72,www.example.com/IG1DZ,FQXLE43O,Returned,2023-12-20,11:00 - 15:00,UPS,Pending,Event_U4RST,13.78
TM3OSVLKB9,9EPNJN5A,Sea,"SJGMM56YX5 Street, City, Country",F51NJ@example.com,2023-12-10,462.97,Product_URMY0,Shipped,295.04,www.example.com/1OI7Y,CLOGJRSO,Not Returned,2023-12-20,10:00 - 15:00,FedEx,Cleared,Event_AYONW,19.25
EB0Z6P0NE7,VBSVTP08,Land,"8WI676L3UG Street, City, Country",UQAKC@example.com,2023-12-10,384.2,Product_3Y01A,Shipped,892.51,www.example.com/I83GV,ILXGSTI4,Not Returned,2023-12-10,12:00 - 15:00,FedEx,Cleared,Event_F73EA,43.07
GR79RUVEOL,O7CQEJEH,Sea,"NWHAAA6CRQ Street, City, Country",FOTSN@example.com,2023-12-15,463.22,Product_PC7VX,Shipped,890.87,www.example.com/3R7IK,8PQEXKKY,Returned,2023-12-15,8:00 - 14:00,FedEx,Cleared,Event_MM0MP,44.45
P0TJURACU9,CBL8YRH8,Sea,"ALEQD3PEZC Street, City, Country",V41KZ@example.com,2023-12-15,63.67,Product_KQ963,Delivered,926.01,www.example.com/EHN8Y,QIQG2VOM,Returned,2023-12-10,8:00 - 15:00,FedEx,Cleared,Event_J22VW,17.92
M2J0TUJBXV,PQ270LCF,Air,"E7M71HAMQE Street, City, Country",N5P93@example.com,2023-12-10,391.97,Product_MYD7A,Delivered,127.61,www.example.com/44RP4,8BWWA27I,Returned,2023-12-10,11:00 - 17:00,UPS,Cleared,Event_JDHT8,28.86
SJOQYYLR6X,U5L4BQC9,Air,"1BHOTQFH8X Street, City, Country",B7BON@example.com,2023-12-10,379.61,Product_5JTVD,Delivered,979.62,www.example.com/42SG8,SN1IRPPP,Returned,2023-12-15,10:00 - 13:00,FedEx,Cleared,Event_1LHGB,10.91
F01F7UXFR4,5N7FFFMW,Land,"9QZYFQXNSI Street, City, Country",MB58W@example.com,2023-12-15,117.65,Product_7X9A7,In Transit,319.05,www.example.com/TF75P,5XJII2H4,Not Returned,2023-12-15,11:00 - 17:00,DHL,Cleared,Event_4EZP2,34.77
86VCCZYTW8,6T5GAX7C,Sea,"GULYILJC0F Street, City, Country",JPD1W@example.com,2023-12-15,200.91,Product_5MTBZ,Shipped,136.7,www.example.com/IK0WE,FBW3CBGD,Returned,2023-12-15,9:00 - 16:00,FedEx,Pending,Event_0FUA8,19.32
3880S4HXLY,TXHCCLRX,Land,"RKSJ19RN4I Street, City, Country",P83IM@example.com,2023-12-10,78.16,Product_X2103,Delivered,631.13,www.example.com/WXT9O,80K5AL2S,Not Returned,2023-12-20,10:00 - 16:00,DHL,Pending,Event_QDWAZ,15.89
295MVYS3XR,OS1EA6XU,Sea,"G635CQ98ZP Street, City, Country",6GPCS@example.com,2023-12-15,192.2,Product_V7A9A,Shipped,630.29,www.example.com/K23LU,5MG8LUNV,Not Returned,2023-12-20,11:00 - 16:00,DHL,Cleared,Event_FFYV5,31.03
M3W87GM9IC,AE9DP53Y,Sea,"5J2XC49NR3 Street, City, Country",NUIG1@example.com,2023-12-20,240.72,Product_5UGMD,Shipped,174.14,www.example.com/CVGAD,LQO9VD0L,Returned,2023-12-15,10:00 - 14:00,UPS,Pending,Event_QR4ES,41.58
8DZ41U9T4S,UAJANI2U,Sea,"82JXD5AJTD Street, City, Country",T0I0V@example.com,2023-12-10,316.8,Product_BA3BB,Shipped,600.72,www.example.com/708WN,V4JGI5KW,Returned,2023-12-10,11:00 - 15:00,UPS,Pending,Event_W6DLD,22.63
4WXADAJDHY,WT05C2BN,Sea,"4R56I6TWN9 Street, City, Country",202XI@example.com,2023-12-10,314.45,Product_0I203,In Transit,561.45,www.example.com/M5G0U,OX0OIV7F,Returned,2023-12-15,10:00 - 14:00,UPS,Pending,Event_VXKFC,48.6
YC68QBHBGH,87O2TYZ5,Sea,"PETWMXB0HE Street, City, Country",XI0ZM@example.com,2023-12-15,251.29,Product_G3H3I,Shipped,978.95,www.example.com/AMM74,B0Q63RWD,Not Returned,2023-12-15,11:00 - 17:00,FedEx,Pending,Event_WX4FH,31.19
2WBCSJ0U9E,3IJO827T,Land,"42ZLE2JL07 Street, City, Country",FWBYY@example.com,2023-12-20,354.41,Product_Y6Z6U,Delivered,602.8,www.example.com/6NMTQ,IXX8K2ET,Not Returned,2023-12-15,8:00 - 17:00,UPS,Pending,Event_7LA2G,17.69
TZKPKHLET5,GIG53IIT,Land,"O3QXTP8HKU Street, City, Country",WVW0K@example.com,2023-12-10,467.64,Product_KZYEW,In Transit,440.87,www.example.com/4NMBO,Y1MSJCH9,Not Returned,2023-12-20,10:00 - 17:00,UPS,Cleared,Event_22AEX,49.62
3KBTJ7FL0L,6J3JXWSI,Sea,"1GBC2DFODP Street, City, Country",RMFW7@example.com,2023-12-20,310.57,Product_6BBT7,Delivered,123.6,www.example.com/LRK71,DBTT7IBI,Returned,2023-12-20,11:00 - 17:00,FedEx,Pending,Event_FIJXW,33.54
J7H9EW0MD8,2TV26CH7,Sea,"5ZQDMT91H1 Street, City, Country",PLQXZ@example.com,2023-12-10,362.75,Product_L4IBF,Shipped,551.27,www.example.com/BH4X8,BVYN8W0T,Not Returned,2023-12-15,9:00 - 17:00,UPS,Pending,Event_D003P,22.19
Y29VN354X8,SS3OX9CL,Land,"X1M5S4U4WC Street, City, Country",8F8LU@example.com,2023-12-20,336.96,Product_TURFN,In Transit,803.04,www.example.com/0Y5IZ,ZG0A6M67,Returned,2023-12-10,10:00 - 13:00,FedEx,Pending,Event_CMV49,20.62
16NKJDKECP,QKGA4439,Land,"L6Q6A5XQRJ Street, City, Country",6S8GJ@example.com,2023-12-15,200.59,Product_2X56O,Delivered,606.67,www.example.com/GMMF8,VW5RM1KZ,Returned,2023-12-10,12:00 - 12:00,FedEx,Cleared,Event_18NII,10.14
D6TOGEMWMT,9XISNRQU,Air,"YB3LVXENY0 Street, City, Country",0PLAO@example.com,2023-12-20,179.08,Product_W3KJ1,In Transit,509.33,www.example.com/HLTSJ,P016FYZC,Not Returned,2023-12-15,11:00 - 15:00,UPS,Cleared,Event_CQEWN,16.77
6P1V9DFPNH,ERHZID1A,Air,"IEF00XU4RH Street, City, Country",XTDM8@example.com,2023-12-20,98.58,Product_2084E,Delivered,397.38,www.example.com/SY3K5,NOLK26U6,Not Returned,2023-12-20,10:00 - 12:00,DHL,Cleared,Event_Y6KGN,29.37
ONG13OD775,G0LMSCCK,Sea,"Q84S5GRQXN Street, City, Country",2QT8O@example.com,2023-12-10,493.24,Product_YDV3Y,Shipped,936.76,www.example.com/XZKNC,F4O0D56N,Not Returned,2023-12-10,8:00 - 16:00,UPS,Pending,Event_4KOR1,35.86
8ZKXPJ90TX,Q8QQUIP2,Air,"SDZ9J91HZT Street, City, Country",ISTFG@example.com,2023-12-10,418.8,Product_NUZIZ,In Transit,169.01,www.example.com/APTVI,6N6LKFT2,Not Returned,2023-12-10,8:00 - 14:00,UPS,Pending,Event_WJKFC,35.53
QC5GPZ78G2,5IG3QUGG,Land,"3UNVRWOOT4 Street, City, Country",VY4ZK@example.com,2023-12-20,416.89,Product_QVZ5P,Delivered,193.69,www.example.com/I38D3,ACUUL4C3,Not Returned,2023-12-10,10:00 - 15:00,DHL,Pending,Event_CRYRU,35.68
ENLUDT66B8,OH6678RX,Land,"32GAL6X8XA Street, City, Country",IU7TJ@example.com,2023-12-10,463.22,Product_SA8SM,Shipped,985.12,www.example.com/KU5T6,MSV94WDL,Not Returned,2023-12-15,12:00 - 12:00,FedEx,Cleared,Event_9YCPT,27.02
U7FOTHCNGG,OLIAUHCM,Sea,"AADA7D7S8L Street, City, Country",1P0QB@example.com,2023-12-15,133.49,Product_EX7PK,In Transit,707.69,www.example.com/7QYX1,0N2UAE44,Returned,2023-12-20,12:00 - 16:00,FedEx,Cleared,Event_DZDCG,11.04
YABJGS0IBM,0TXCU5RO,Air,"7I4B79VPJK Street, City, Country",2B4ZN@example.com,2023-12-15,63.5,Product_GA43K,In Transit,278.35,www.example.com/DR9HN,01E6QI2P,Returned,2023-12-20,11:00 - 16:00,UPS,Cleared,Event_SEJ08,13.47
YTA62WS9N6,56QDPV8Z,Air,"W77Y9777A4 Street, City, Country",AEQWV@example.com,2023-12-15,120.07,Product_LP02T,Shipped,194.61,www.example.com/C21SR,ZNMM0JQJ,Returned,2023-12-15,8:00 - 15:00,FedEx,Cleared,Event_BVDWH,11.68
OWS1622FMN,NNML1XSY,Air,"6P8JND71SI Street, City, Country",E6IVB@example.com,2023-12-20,253.77,Product_HISO6,Delivered,313.9,www.example.com/RCHG1,NSPO9N1K,Returned,2023-12-15,8:00 - 17:00,UPS,Pending,Event_KBK2T,31.89
5IGGPR74SW,KXD42XG5,Air,"M9KWONARIA Street, City, Country",T08I2@example.com,2023-12-20,486.21,Product_4D0BY,Shipped,934.86,www.example.com/RNL5I,RZFCO406,Returned,2023-12-10,9:00 - 12:00,FedEx,Cleared,Event_WPAI8,26.9
P28HHMOSJP,QR626D94,Land,"PERA23XTT6 Street, City, Country",UO6AQ@example.com,2023-12-10,107.65,Product_4MX3X,In Transit,605.89,www.example.com/L443F,BJID9A0E,Not Returned,2023-12-10,8:00 - 16:00,FedEx,Pending,Event_WM5LX,42.77
RA3ALQLDLP,TTV2LJFX,Land,"9DJ686TAQX Street, City, Country",FTVVE@example.com,2023-12-15,326.56,Product_O2KPM,Shipped,430.55,www.example.com/LYVUO,Y649RK78,Returned,2023-12-20,9:00 - 15:00,DHL,Pending,Event_0Z4HM,42.72
JL08GXYLEN,8E7N7BGC,Land,"MZUV1RIGGS Street, City, Country",JO3AI@example.com,2023-12-10,284.67,Product_LSWOX,Shipped,589.3,www.example.com/RZ8XE,A8K5UUOI,Returned,2023-12-15,10:00 - 15:00,FedEx,Cleared,Event_YME2G,14.04
O83PBF6I3O,68GBQ4CB,Sea,"CPHF7O7G2S Street, City, Country",9IPL8@example.com,2023-12-10,432.87,Product_39A3Z,Delivered,997.0,www.example.com/JDJ9V,67G8CNZK,Not Returned,2023-12-10,8:00 - 14:00,UPS,Cleared,Event_WOUHI,37.55
KBZUINIOOJ,GCWVA4OH,Air,"B5DQ7IZVWQ Street, City, Country",OEOY0@example.com,2023-12-10,95.75,Product_TG05M,In Transit,705.22,www.example.com/QTZXG,VILD767J,Not Returned,2023-12-15,10:00 - 16:00,FedEx,Cleared,Event_86DHV,31.49
Q4WBYJJNJW,68DF3CEY,Land,"Q4KDWEEGI5 Street, City, Country",OVBGN@example.com,2023-12-10,92.09,Product_09408,In Transit,346.14,www.example.com/FFPWW,GWMLHVF0,Not Returned,2023-12-15,10:00 - 17:00,DHL,Pending,Event_N2S92,20.96
MYDLDYXCKM,54SD81S1,Sea,"V9VXJGB55C Street, City, Country",QCZ9U@example.com,2023-12-20,149.87,Product_Z87RW,Shipped,939.62,www.example.com/VHI8Y,YOO055RS,Returned,2023-12-20,11:00 - 14:00,FedEx,Cleared,Event_U4MYP,14.87
A7YV9G83FZ,RZUPC6ET,Sea,"X2T7PSPZHS Street, City, Country",1VSES@example.com,2023-12-10,98.31,Product_37OA9,Delivered,283.82,www.example.com/V478P,8U8IATFK,Returned,2023-12-10,10:00 - 15:00,DHL,Pending,Event_BH1NE,36.62
MVFAOKWLRE,SDMLO3ID,Air,"9EYN13944R Street, City, Country",WA13E@example.com,2023-12-15,178.9,Product_A1UCH,In Transit,227.29,www.example.com/JJ6SJ,D1GZ90RB,Not Returned,2023-12-10,9:00 - 14:00,DHL,Cleared,Event_ZBQPU,10.6
6Y7XDB5XIO,EQBOP1IP,Air,"DFDXIMONOF Street, City, Country",E5TTM@example.com,2023-12-10,92.94,Product_65DWJ,Shipped,468.13,www.example.com/5SOVK,C0I79RAK,Not Returned,2023-12-20,11:00 - 13:00,FedEx,Cleared,Event_NZURA,48.87
G7A9B5YRG7,G5PJU4FH,Air,"1X0U5R3ZO2 Street, City, Country",SR517@example.com,2023-12-10,467.92,Product_NPYCL,Delivered,303.02,www.example.com/AH3WB,2GVVYYJ4,Not Returned,2023-12-15,12:00 - 15:00,DHL,Cleared,Event_181BY,15.45
Q8M0Y5CESV,7DYUVB8G,Air,"8ZEI8S4DB2 Street, City, Country",FM8SQ@example.com,2023-12-10,309.2,Product_NVNLG,Delivered,900.26,www.example.com/0TOJC,XFX1RRBU,Not Returned,2023-12-20,9:00 - 14:00,FedEx,Pending,Event_TPKHF,24.78
SZ1C5ZQ1W7,1OH0BG66,Land,"G1N2UZCA29 Street, City, Country",OFYOL@example.com,2023-12-10,353.24,Product_ZYSO4,In Transit,677.77,www.example.com/1IHDT,AG2J44V6,Returned,2023-12-10,10:00 - 12:00,DHL,Cleared,Event_7IZ30,24.98
1U19NY7KHV,EHKHHUFO,Air,"5QYMWYZVCZ Street, City, Country",42MHL@example.com,2023-12-20,145.8,Product_TUT0Z,In Transit,269.36,www.example.com/SC0KN,V3SZW37C,Returned,2023-12-20,10:00 - 16:00,FedEx,Pending,Event_9YQQR,40.09
ZGNTXT0557,67PJUEMI,Sea,"ESON2EI6JP Street, City, Country",EDLHM@example.com,2023-12-20,341.31,Product_54QFJ,Shipped,253.12,www.example.com/61YWJ,07ZAQC9R,Not Returned,2023-12-10,12:00 - 14:00,DHL,Pending,Event_16JBY,27.6
EPEZFQUFJG,JOUQ8PH3,Sea,"CFZLBJFZ4S Street, City, Country",IQCV4@example.com,2023-12-15,128.61,Product_B000G,Delivered,454.54,www.example.com/EHNJL,XIVODTG5,Returned,2023-12-15,8:00 - 15:00,FedEx,Pending,Event_C4VGG,28.83
6JWDI6BT6J,ELG8ZGOA,Air,"7EVJG912IW Street, City, Country",24EUH@example.com,2023-12-15,352.25,Product_WWA71,Delivered,247.27,www.example.com/RFAL4,JEJI5MSK,Not Returned,2023-12-15,12:00 - 12:00,FedEx,Cleared,Event_8UU3P,30.59
5YS853YFP6,GKWM7B0X,Air,"VO33BE3VOC Street, City, Country",EYJZB@example.com,2023-12-10,424.82,Product_64CQ5,Delivered,885.87,www.example.com/MG3VH,HP9JGLNX,Returned,2023-12-15,8:00 - 12:00,UPS,Pending,Event_OZHD5,23.99
TGL3YY0A36,DJ9NW37P,Air,"RTHT0GQLDB Street, City, Country",SK0MS@example.com,2023-12-15,224.6,Product_JTYEM,In Transit,758.46,www.example.com/6P5U3,WMBF4DLJ,Not Returned,2023-12-15,11:00 - 17:00,UPS,Cleared,Event_UVDB2,43.23
LM5YHKO9JH,98NVLVFF,Land,"G2JB7VMIT6 Street, City, Country",TVK1X@example.com,2023-12-10,187.36,Product_81TD3,Shipped,327.28,www.example.com/YG752,53MW9AUE,Returned,2023-12-10,9:00 - 17:00,FedEx,Pending,Event_EW7M8,10.25
J8OGKIS8T1,4H64B8VG,Land,"8CA60HIBU0 Street, City, Country",RXS1B@example.com,2023-12-20,156.56,Product_XOS3Q,Delivered,930.51,www.example.com/MTVZQ,PH0GFZJW,Not Returned,2023-12-15,8:00 - 13:00,UPS,Pending,Event_E6IAI,46.5
X705Y95X0H,OHHPGGKR,Land,"HRTZJM1TOD Street, City, Country",VBUVK@example.com,2023-12-15,88.44,Product_K6J4L,Delivered,570.34,www.example.com/RUZWT,774FL1YH,Not Returned,2023-12-15,12:00 - 16:00,FedEx,Pending,Event_7EZ2U,29.44
SC48PFVRSZ,4YRIFE3P,Land,"XY4S3OHU4O Street, City, Country",1Z6ES@example.com,2023-12-20,241.95,Product_RHK7N,Delivered,800.21,www.example.com/0TPDL,EPTBVG5D,Not Returned,2023-12-10,10:00 - 12:00,UPS,Pending,Event_01QKX,46.32
PB5BQXSAJC,X0RLDP3P,Sea,"S1SCOO14P0 Street, City, Country",0L3PG@example.com,2023-12-15,437.77,Product_ZTEEW,Delivered,766.55,www.example.com/KV8XK,FELE1OOO,Returned,2023-12-15,10:00 - 12:00,DHL,Pending,Event_72Y3M,19.92
1C9SCB0P4N,UJO77H1U,Sea,"B84LRQEKLL Street, City, Country",0EAYF@example.com,2023-12-10,315.97,Product_VI27U,Shipped,886.16,www.example.com/U6FQO,AA9L7GRH,Returned,2023-12-20,8:00 - 15:00,FedEx,Pending,Event_VBVCK,47.13
OGQ0XUXRTV,LDOQR7W6,Sea,"8HELFJBPQO Street, City, Country",3O4Q0@example.com,2023-12-20,318.48,Product_UY4RT,Shipped,681.81,www.example.com/15BL1,Z1JHLN38,Not Returned,2023-12-20,12:00 - 17:00,UPS,Pending,Event_07N2W,45.47
BNN4RRWVLN,UGCPJKAN,Air,"CEF1TNGMFC Street, City, Country",B3FUJ@example.com,2023-12-20,109.87,Product_USHHT,In Transit,992.07,www.example.com/3RWDF,SPMHX9EH,Returned,2023-12-15,11:00 - 15:00,DHL,Cleared,Event_QH3UA,20.14
JQ28G7T1TQ,K1XWAH1K,Land,"8L8HXP6CTO Street, City, Country",IT128@example.com,2023-12-20,376.84,Product_MWYLB,Delivered,583.65,www.example.com/2ZX0P,4FGP6K1G,Not Returned,2023-12-20,9:00 - 17:00,UPS,Pending,Event_Z4Z4Z,26.93
4Q4QVGRF2I,K3589B51,Land,"B0VWBTHS53 Street, City, Country",Q8TL4@example.com,2023-12-20,131.83,Product_6KQPB,In Transit,140.04,www.example.com/20AUH,LU6FFCGL,Returned,2023-12-10,8:00 - 15:00,DHL,Pending,Event_NNQVW,31.54
B87IGY257U,2MH6TLNN,Air,"XNYB7VTR7A Street, City, Country",37W68@example.com,2023-12-20,382.11,Product_HYXZ6,Shipped,710.87,www.example.com/CGAII,O6WA6M90,Returned,2023-12-10,9:00 - 12:00,FedEx,Pending,Event_OITMY,33.73
RTYYO1TJUC,FLTOMKVH,Land,"GXDGFJFULV Street, City, Country",FRTKL@example.com,2023-12-15,296.58,Product_G0UF1,Shipped,356.52,www.example.com/5WBNC,GFU7EZQ7,Returned,2023-12-20,10:00 - 12:00,UPS,Cleared,Event_29P60,10.11
PZ4M4PK3J6,FUEJXGWT,Sea,"YLPOXDYD7Y Street, City, Country",IHFNW@example.com,2023-12-20,76.69,Product_Q6H8V,Delivered,622.67,www.example.com/VPZW6,RUL0ECP4,Not Returned,2023-12-15,12:00 - 13:00,UPS,Cleared,Event_4FCVA,26.07
OHCUGTKXZM,JRQABOUN,Land,"KE8TDM87P5 Street, City, Country",SSQ5B@example.com,2023-12-20,436.8,Product_BIS7H,Shipped,50.03,www.example.com/160BW,W8UUZX20,Not Returned,2023-12-15,9:00 - 16:00,DHL,Cleared,Event_009ZQ,42.0
PNM6ZUDVK9,5LJHGLXI,Sea,"UZHAIZ90BI Street, City, Country",KEXM4@example.com,2023-12-15,152.02,Product_LJH22,Delivered,93.59,www.example.com/H08P9,VAUFJ8QW,Not Returned,2023-12-10,11:00 - 15:00,DHL,Pending,Event_CCQOW,15.91
IEAMHTZERF,9FFIZ0Z0,Land,"KY1MPI8TWS Street, City, Country",7WRQK@example.com,2023-12-10,459.19,Product_A4JRJ,In Transit,725.11,www.example.com/SGVR6,RMJRB2XT,Returned,2023-12-10,9:00 - 17:00,UPS,Pending,Event_7116K,48.05
1NCIA6WEC9,SDPHCGDT,Sea,"8MRG54QOM8 Street, City, Country",C729D@example.com,2023-12-20,155.71,Product_OY7GD,In Transit,932.45,www.example.com/39K2L,LJNGBTRW,Returned,2023-12-15,8:00 - 12:00,UPS,Cleared,Event_5XJBH,47.39
X3JL5GLHL2,X442OFXJ,Sea,"RAQ7GSY6B0 Street, City, Country",GFBOR@example.com,2023-12-20,377.77,Product_PLKU9,Delivered,564.01,www.example.com/NE9XO,YBE7V7U4,Returned,2023-12-10,9:00 - 16:00,DHL,Pending,Event_ZLD6E,33.7
P74TSYYHUN,SVCEUD4B,Air,"A5FX71P7CQ Street, City, Country",57ULD@example.com,2023-12-20,336.05,Product_2YHB9,In Transit,848.07,www.example.com/GY7UF,JNJ84KCQ,Not Returned,2023-12-10,10:00 - 17:00,FedEx,Cleared,Event_5JFPT,37.37
YIHHTQ2V85,ODDZ0MTF,Sea,"R6D60MTEMR Street, City, Country",DS4AG@example.com,2023-12-15,438.76,Product_TQ682,Delivered,743.42,www.example.com/VMMI8,JHZBEJ5G,Returned,2023-12-10,8:00 - 16:00,FedEx,Pending,Event_JFX7W,22.81
2RMMRXH25M,CC3FSX17,Air,"U9XO004R1J Street, City, Country",QBD6A@example.com,2023-12-20,180.41,Product_ZCUUK,In Transit,512.86,www.example.com/E946O,PYB8GG0D,Returned,2023-12-15,9:00 - 13:00,UPS,Cleared,Event_GT7CV,33.04
0ZG20VNKZC,R7I9ZLOS,Air,"XXSH5WIJYO Street, City, Country",1JTGB@example.com,2023-12-20,101.14,Product_6PJE3,In Transit,583.3,www.example.com/5BMJZ,9AEQEMI5,Returned,2023-12-10,9:00 - 12:00,DHL,Cleared,Event_O6ZL2,19.06
9PIG9Y9D9I,5UE3RJNS,Sea,"YK5PJP48JZ Street, City, Country",PF89M@example.com,2023-12-15,192.06,Product_H2560,Delivered,902.55,www.example.com/QEYZP,EKQC04EW,Not Returned,2023-12-15,10:00 - 15:00,UPS,Pending,Event_LY17J,20.41
4WVE9E7ZSJ,38PI24OZ,Air,"92R21UK049 Street, City, Country",GXDBQ@example.com,2023-12-15,350.02,Product_5ZHAP,Delivered,624.85,www.example.com/SRW3O,OKFV912T,Not Returned,2023-12-10,11:00 - 12:00,UPS,Cleared,Event_TRU9U,37.9
