Order ID,Order Date,Customer Name,Order Status,Delivery Date,Shipment Mode,Order Value,Product Description,Project Code,Tracking ID,Shipping Address,Payment Status,Order Total,Order Priority,Customer Rating,Product ID,Shipping Cost,Payment Method,Billing Address,Estimated Delivery Date,Tracking Status
JGBJ3NFHLI,2023-12-01,Customer_07UWZ,Processing,2023-12-10,Air,233.26,Product_3RWIL,UA8WM,3UGKBE9F,"53VDQSTIL2 Street, City, Country",Unpaid,537.35,Medium,3,U7QKKJ45,46.87,PayPal,"33K59TEKEE Street, City, Country",2023-12-20,In Transit
UHATACBK51,2023-12-15,Customer_ZHCIS,Delivered,2023-12-20,Sea,51.34,Product_A8KSG,JUV95,XRZTKIYB,"PAX3OBYE99 Street, City, Country",Unpaid,650.57,Medium,4,L5B163YP,16.45,PayPal,"08BJ4QAJEO Street, City, Country",2023-12-10,Delivered
YUD3A98GJB,2023-12-15,Customer_NU33E,Delivered,2023-12-20,Air,299.21,Product_P9PXW,5RN4R,LL8WBXJD,"7QZN020WFN Street, City, Country",Paid,590.21,Low,4,CUJC7FJU,24.32,Bank Transfer,"CK6O0AH041 Street, City, Country",2023-12-10,Out for Delivery
OSAHFDZZZD,2023-12-01,Customer_14RE7,Delivered,2023-12-15,Sea,232.67,Product_HWX3F,SM18Y,4KDMPEY0,"WWPGXP35ND Street, City, Country",Paid,363.51,High,4,98KV84VQ,14.79,Bank Transfer,"F0R39ZPYYM Street, City, Country",2023-12-15,In Transit
TCIHTFWYJM,2023-12-15,Customer_UVI07,Delivered,2023-12-20,Air,446.01,Product_IET8N,KWE1I,4SAGUGVV,"RFY3X87U2O Street, City, Country",Paid,633.99,High,3,GFC0UXSX,16.78,PayPal,"HSX1764ULP Street, City, Country",2023-12-10,Delivered
VU37T2RIUZ,2023-12-15,Customer_XUADN,Shipped,2023-12-10,Sea,342.11,Product_ABLP1,I3FB1,DZQQHX3I,"P5YCZ7VYCB Street, City, Country",Unpaid,723.29,Low,5,SI97X9HW,45.21,PayPal,"ACN46TC987 Street, City, Country",2023-12-15,Out for Delivery
3QLYQBQ6LW,2023-12-01,Customer_YX9YS,Delivered,2023-12-20,Air,105.16,Product_6TH30,EWTHE,VG59T01T,"77GAH3EA6M Street, City, Country",Paid,61.03,High,5,XM5AIABM,19.27,Credit Card,"OZCPOT20ZK Street, City, Country",2023-12-10,Delivered
5NAKUILJ1O,2023-12-10,Customer_61GTS,Processing,2023-12-20,Air,136.5,Product_RIFJO,IEY8B,DLFT6SR1,"17Z2VJ3V7Y Street, City, Country",Unpaid,859.11,High,3,10FMHWZ1,10.52,PayPal,"28850IZ6LD Street, City, Country",2023-12-10,Delivered
ZPKQN36TWH,2023-12-01,Customer_USU6X,Delivered,2023-12-20,Sea,32.16,Product_TISNF,NHS42,R2XXSMUB,"Z0GQQ2MVLB Street, City, Country",Paid,783.69,Low,2,QYZQ60CM,36.47,Bank Transfer,"DUIX7W5FUQ Street, City, Country",2023-12-15,In Transit
RT7ZGTZPYW,2023-12-01,Customer_7YHPW,Delivered,2023-12-10,Land,166.03,Product_YFGML,ELMMM,T5QKRX6L,"5CD6CU0M64 Street, City, Country",Paid,980.69,Low,5,X37NK2DL,19.27,Bank Transfer,"S0RUYLCX6U Street, City, Country",2023-12-15,Delivered
SFYDZHLPWB,2023-12-15,Customer_PMM9Q,Delivered,2023-12-10,Air,153.95,Product_VFJUJ,G26DA,RI7L471S,"OZKC4R1XU9 Street, City, Country",Paid,693.91,Medium,1,WBAGRAZS,49.22,Bank Transfer,"L9R55WK28G Street, City, Country",2023-12-10,Delivered
Q3R6GUQDEE,2023-12-15,Customer_D0TVP,Processing,2023-12-15,Air,86.7,Product_WYLJY,H5JSA,MSWWULON,"M5QA1RCCXZ Street, City, Country",Unpaid,501.26,Medium,3,YWZF1WQM,13.24,PayPal,"YWZ08QUK7C Street, City, Country",2023-12-15,In Transit
2GBU83ORHJ,2023-12-01,Customer_S7MKM,Shipped,2023-12-20,Land,230.85,Product_X908L,AVJG3,FJFVL4UN,"YU0YN9GAC3 Street, City, Country",Paid,556.5,Low,1,VIA0C0BO,27.0,PayPal,"AGFUFOVGSE Street, City, Country",2023-12-10,In Transit
ABR77QY3E7,2023-12-01,Customer_25HOI,Delivered,2023-12-10,Sea,358.96,Product_P3CK1,FRONH,BWXJDA33,"RZW1RX5HU0 Street, City, Country",Unpaid,175.37,Medium,1,C0QJ3JVJ,27.2,PayPal,"HQN33JOWRW Street, City, Country",2023-12-20,Out for Delivery
GYI5F2PAX5,2023-12-10,Customer_1TL40,Processing,2023-12-20,Sea,258.82,Product_00HV0,G2MZG,T5UGFJ6F,"IGXXZLPFE7 Street, City, Country",Unpaid,572.63,Medium,5,BOK3S34I,12.42,Bank Transfer,"Q9KPWML4QX Street, City, Country",2023-12-20,Delivered
COLHMNJA6P,2023-12-10,Customer_J3Z5Q,Processing,2023-12-20,Air,383.23,Product_0UGRW,FEIWJ,6UHI0HEJ,"V0X9R4FFY9 Street, City, Country",Unpaid,374.19,Medium,3,NQ24PWZW,43.6,PayPal,"JSADTGSGUM Street, City, Country",2023-12-15,Out for Delivery
HME453TRKR,2023-12-10,Customer_KIJ8Z,Delivered,2023-12-20,Sea,498.85,Product_3KGWM,YZWG3,OQSXB1F7,"JTCOPXHPI2 Street, City, Country",Paid,656.15,High,5,8IOJ8V0V,33.22,Bank Transfer,"43WEWPWJ4P Street, City, Country",2023-12-10,In Transit
D4H6KPUIBG,2023-12-01,Customer_0LBGC,Delivered,2023-12-15,Sea,308.52,Product_WFQ80,2390X,R9XE0L0U,"JVWDMGZBEH Street, City, Country",Unpaid,746.13,Medium,2,ZAG2AXMN,17.48,Bank Transfer,"22Q558FJBR Street, City, Country",2023-12-15,Delivered
ZKG2SYLYKP,2023-12-01,Customer_Z4BCX,Processing,2023-12-10,Sea,137.34,Product_YKDCI,RFSOD,KE4T838K,"ZLIQ5VFZBD Street, City, Country",Paid,391.64,Medium,2,FUXU9SU1,46.9,Credit Card,"14VPS1HEII Street, City, Country",2023-12-15,In Transit
6M7LTENZWJ,2023-12-01,Customer_54TLU,Processing,2023-12-20,Land,131.44,Product_R31YJ,ZA2G1,EL07YHO0,"5T9TJ6LLUJ Street, City, Country",Unpaid,834.1,Low,2,8IR7WBNE,26.4,PayPal,"UK31H6OZNP Street, City, Country",2023-12-10,Out for Delivery
7T5P7H9UZ5,2023-12-10,Customer_FWRR8,Processing,2023-12-20,Land,422.41,Product_JLMN3,NT4LW,SEOL1NNL,"EHC9YLKUGJ Street, City, Country",Paid,150.55,Low,1,BVM00CUK,33.51,Credit Card,"V38HDS3G8D Street, City, Country",2023-12-20,In Transit
Z8JAJ9754M,2023-12-10,Customer_W9TPK,Shipped,2023-12-15,Land,187.99,Product_65IU9,LFO5P,ULJC1719,"5HPFYU737A Street, City, Country",Paid,379.16,Low,5,AY01782Y,31.77,Credit Card,"TKVFKPOK3T Street, City, Country",2023-12-15,Out for Delivery
73O0KV4HLB,2023-12-15,Customer_RCURE,Shipped,2023-12-10,Air,92.9,Product_W69DV,RY3UB,FOCL6X7T,"OBICKVWYVK Street, City, Country",Paid,361.57,High,1,SBWG2USO,22.17,Credit Card,"3IJDIBAZT7 Street, City, Country",2023-12-15,In Transit
QTB9PHBK2H,2023-12-10,Customer_25RW9,Shipped,2023-12-15,Air,180.33,Product_7KKCG,50H8V,3S57V9MK,"IV4G5E5851 Street, City, Country",Unpaid,640.74,High,5,N18CBN8M,29.99,Credit Card,"KW09L9MG5L Street, City, Country",2023-12-20,In Transit
M4UPLK6MEU,2023-12-01,Customer_MXSKH,Shipped,2023-12-10,Sea,475.68,Product_IOR8X,CKGCR,V6LQMEJI,"K2I0D70YPV Street, City, Country",Paid,623.08,Medium,3,1240D6ZY,38.1,Credit Card,"7STW8MR78G Street, City, Country",2023-12-10,In Transit
WPP8DY1MZ9,2023-12-15,Customer_DUZ3B,Processing,2023-12-10,Land,437.67,Product_O4AV8,1ENR4,1ZIUKZ5W,"D5OWCNOPS7 Street, City, Country",Unpaid,554.67,Medium,5,WW1K0U9T,46.18,Credit Card,"1NNVUIABQO Street, City, Country",2023-12-10,Delivered
LXGHQGADW1,2023-12-15,Customer_4KVZR,Shipped,2023-12-20,Land,433.78,Product_UV8BG,6LCE0,9Z8YVX2Q,"2AM81IF0AA Street, City, Country",Paid,578.89,High,4,TITLD5E8,30.27,Credit Card,"Y70JHD3YC2 Street, City, Country",2023-12-15,In Transit
7HLVQ86JHE,2023-12-10,Customer_KYD2Z,Processing,2023-12-10,Sea,287.23,Product_5EKU9,71R3U,YQQDFYEW,"BCS664LF4O Street, City, Country",Paid,737.99,High,2,LIDOF5WY,21.55,PayPal,"CHSCDEHAAN Street, City, Country",2023-12-20,Delivered
YYHVICYUUX,2023-12-15,Customer_L8I2S,Delivered,2023-12-15,Land,172.27,Product_2VRIR,4XEI7,RT2B2FC4,"UVRVWSXLUZ Street, City, Country",Paid,67.73,Low,2,NPLG78FY,14.25,PayPal,"5DSLRZ9ZSN Street, City, Country",2023-12-10,In Transit
7HNSB8G2KN,2023-12-15,Customer_MEI9G,Delivered,2023-12-20,Land,270.03,Product_3DMO5,SA5VL,VYYID533,"I5GQBI18FK Street, City, Country",Unpaid,904.4,Low,2,Y06FAS1W,49.63,Bank Transfer,"ZCC8UIR0P5 Street, City, Country",2023-12-20,Delivered
DLJ5K5XBB0,2023-12-10,Customer_1755L,Delivered,2023-12-15,Air,403.16,Product_7NWBT,NW102,Q89Z6T4S,"NVTSOQW94I Street, City, Country",Unpaid,913.54,Low,2,0AL1UN9K,20.68,Bank Transfer,"8YGBNIN4E8 Street, City, Country",2023-12-15,Out for Delivery
AAJ5U0T32J,2023-12-15,Customer_IU7PP,Processing,2023-12-15,Land,91.18,Product_NXD8V,NMVVK,C15WC6MN,"93FXJWQ39N Street, City, Country",Unpaid,724.11,Medium,2,92WUCFW5,5.58,PayPal,"GDTH2J0EHI Street, City, Country",2023-12-10,Delivered
JDEBE7U75Q,2023-12-01,Customer_VC330,Shipped,2023-12-15,Sea,21.18,Product_JK61V,SEA41,TV6PVDED,"EEGQS3JXM7 Street, City, Country",Paid,995.55,High,5,P7KS224R,48.07,Credit Card,"ANGY0V2W9E Street, City, Country",2023-12-20,Out for Delivery
GMIOLECVU3,2023-12-01,Customer_Z7XKG,Delivered,2023-12-15,Air,191.55,Product_DSS01,761OV,3WUJOLDJ,"NKKGNLBDFJ Street, City, Country",Unpaid,509.89,Medium,4,FSZX25ZO,42.85,PayPal,"B95X5VH22K Street, City, Country",2023-12-15,Delivered
4GDVPD3HJZ,2023-12-01,Customer_SFVMC,Delivered,2023-12-10,Air,381.3,Product_O5WP9,LZBNS,QP4K5BBU,"V78VVP91T5 Street, City, Country",Unpaid,885.87,High,3,9C7U7JXB,23.91,PayPal,"1W2V4WRGEK Street, City, Country",2023-12-20,Out for Delivery
08E0KK4AHS,2023-12-15,Customer_IIM3L,Processing,2023-12-10,Air,452.94,Product_YYOZ1,SUTAM,0U7GPC3Z,"XCASZ1KV13 Street, City, Country",Paid,515.75,Low,5,OA1AFDXX,36.99,PayPal,"R8R6J1IPK2 Street, City, Country",2023-12-10,Delivered
TBWGD31Q4X,2023-12-15,Customer_X6HD8,Delivered,2023-12-10,Land,287.67,Product_5ZH2R,G09DT,C9DD637Q,"IGV33XHSTT Street, City, Country",Unpaid,825.97,Medium,5,XOAPE7TO,40.65,Credit Card,"4VD1CZ07MN Street, City, Country",2023-12-10,Out for Delivery
Q2PMM4FSYK,2023-12-10,Customer_V8XGC,Shipped,2023-12-10,Sea,438.7,Product_OPU38,2GCBE,0O2TI2UR,"01EJPX7WD1 Street, City, Country",Paid,574.89,Medium,2,EXLTQ1EJ,48.89,Credit Card,"3VVEJKCR8M Street, City, Country",2023-12-20,Delivered
CL335FCUW2,2023-12-15,Customer_JG6Z9,Processing,2023-12-10,Air,249.97,Product_SE2H5,LRS23,BVQV40HH,"IK10YIM7D7 Street, City, Country",Paid,636.85,Low,1,BT7JPFL4,9.78,Credit Card,"NBKWVMFUX8 Street, City, Country",2023-12-15,Out for Delivery
RS0V04Y6CQ,2023-12-15,Customer_1YLVF,Delivered,2023-12-20,Air,57.08,Product_CVQ5E,QH577,K5M28O45,"MSWBNDI8A0 Street, City, Country",Paid,302.84,Medium,5,Q1WGCH72,40.83,Bank Transfer,"SCGH6O4KVH Street, City, Country",2023-12-15,Delivered
NJEWIL41FF,2023-12-01,Customer_4NXLA,Delivered,2023-12-15,Land,109.49,Product_MLTT9,KDYGX,B64T1T4F,"AIGDNUU45Z Street, City, Country",Paid,79.93,Low,2,7MJEKHZK,7.98,PayPal,"28AOFNSBF8 Street, City, Country",2023-12-20,Out for Delivery
YZVHX0JRUQ,2023-12-10,Customer_JWIZ9,Shipped,2023-12-10,Air,454.9,Product_BEJEA,70F17,XRNNE6ZE,"3FNRJDHJ7R Street, City, Country",Paid,104.13,Medium,2,PNRT2NXL,16.4,PayPal,"UR7QL7IT5X Street, City, Country",2023-12-15,Delivered
VV1HZCXZJX,2023-12-01,Customer_IMQEU,Delivered,2023-12-10,Air,53.99,Product_60H9H,B08A4,HQL60IE1,"BBQZ40V6XT Street, City, Country",Unpaid,476.26,Medium,1,GRV6VKYU,31.43,Bank Transfer,"Y03PDIHIU2 Street, City, Country",2023-12-15,In Transit
BB1EHNDC2Q,2023-12-15,Customer_6V84C,Processing,2023-12-15,Air,166.95,Product_UAEC8,00EY9,48KMFGN5,"5V4EH9GCDV Street, City, Country",Paid,903.69,Medium,4,DLRAVSZ9,43.25,Bank Transfer,"ULA6G5AA1D Street, City, Country",2023-12-10,In Transit
XZ1TWHRXVT,2023-12-15,Customer_VI4UB,Processing,2023-12-15,Land,430.19,Product_DYQNL,8WC16,4K301RCT,"K8TABSARRE Street, City, Country",Paid,567.6,Medium,4,FTN8IKF9,35.15,PayPal,"FT45TR25SD Street, City, Country",2023-12-10,In Transit
XND5QBBWMM,2023-12-01,Customer_W1ZD3,Delivered,2023-12-10,Land,380.47,Product_FB5FY,XXCQI,1BC9S202,"8R7QTQZA9K Street, City, Country",Paid,592.56,Medium,5,CANAFREV,18.59,Bank Transfer,"XE0B5WEAEQ Street, City, Country",2023-12-20,Delivered
U8BTZS698Q,2023-12-01,Customer_FTOMW,Processing,2023-12-10,Sea,146.87,Product_RHL5Q,BIE60,HDMZW6UH,"ZA1WNBYONX Street, City, Country",Paid,254.72,Low,4,CHTGR0S4,40.68,Credit Card,"26RVXHBV5L Street, City, Country",2023-12-20,Out for Delivery
TGFAQFZ7Z9,2023-12-01,Customer_1MJGA,Shipped,2023-12-15,Air,44.3,Product_YMXTZ,I6TGO,9DFBTEYV,"N1ASJE0BEJ Street, City, Country",Paid,330.31,Low,1,8E3OV6OG,36.05,Bank Transfer,"MT5B5VUC26 Street, City, Country",2023-12-10,Delivered
EUVWIKKU98,2023-12-01,Customer_NGLOD,Shipped,2023-12-20,Land,429.2,Product_1V5BQ,GRWAB,6IBDHDU8,"3K3AIMSLU1 Street, City, Country",Unpaid,866.32,Medium,1,1AW3IUVF,35.1,Credit Card,"JGHUX2QBSD Street, City, Country",2023-12-15,In Transit
5NIRNT4YPF,2023-12-10,Customer_ZUZNG,Delivered,2023-12-15,Land,113.43,Product_QZ9CO,1ZK1L,YXI2RWZK,"4YWU6D4NS7 Street, City, Country",Unpaid,812.16,Low,3,E3RDUUMV,39.83,Credit Card,"R5A67H9JBD Street, City, Country",2023-12-20,Out for Delivery
5FWVR6QQAM,2023-12-01,Customer_XWRR6,Delivered,2023-12-20,Sea,75.73,Product_U6AR1,DBH08,FU6RJPII,"973WVDZU7B Street, City, Country",Unpaid,567.0,High,1,9DD9221R,49.29,PayPal,"58JX0JSWY4 Street, City, Country",2023-12-10,In Transit
BNPRBAZQJ8,2023-12-10,Customer_3XH45,Delivered,2023-12-20,Air,322.43,Product_V9TUV,3Y2OU,WHZTJISH,"LUSR616OI2 Street, City, Country",Paid,367.19,Medium,4,87Y5A7AA,22.31,Bank Transfer,"8GSC2SZYO5 Street, City, Country",2023-12-20,In Transit
EZLPYDL1SU,2023-12-15,Customer_C1X4S,Delivered,2023-12-15,Air,54.74,Product_Y5XX5,WMFBT,D2UPJMWO,"H99BHR16WU Street, City, Country",Unpaid,73.48,Low,1,0V75YZ10,8.21,PayPal,"UY21S4TL3Q Street, City, Country",2023-12-20,Delivered
FSSZXF1KWD,2023-12-10,Customer_0FY77,Shipped,2023-12-20,Sea,149.36,Product_XDRD8,0AFA6,W386XN41,"L7K2QQK40H Street, City, Country",Unpaid,177.9,Low,2,3IWBNI92,35.36,PayPal,"GHLIW52OOP Street, City, Country",2023-12-15,In Transit
JX0FZQNUA7,2023-12-15,Customer_HSM7G,Processing,2023-12-20,Sea,176.44,Product_PFSX8,YPIIQ,WKL5RPFC,"QDNA17MQ8Y Street, City, Country",Unpaid,690.46,Medium,1,85BU5YAY,8.74,Bank Transfer,"1S9F410EDK Street, City, Country",2023-12-20,In Transit
IDBDYM9OPC,2023-12-01,Customer_YVV0H,Processing,2023-12-20,Land,74.25,Product_L70XL,OGR2Y,VVMNQNJQ,"C0E6YNKQMD Street, City, Country",Paid,221.56,Medium,4,TN4DMKGH,48.9,Credit Card,"4G9GGHCMX0 Street, City, Country",2023-12-15,In Transit
WISF9GT48J,2023-12-10,Customer_IJQYV,Delivered,2023-12-15,Sea,216.45,Product_QBAN1,1SA4C,QPYTY1DE,"A6TDB6UQ5C Street, City, Country",Paid,165.96,High,4,6BQ5U06J,32.84,Bank Transfer,"B6K1GGLODY Street, City, Country",2023-12-15,In Transit
75Z93X1U92,2023-12-10,Customer_LDCST,Processing,2023-12-15,Land,492.31,Product_IS3BO,YHZCX,Y9ZRDWVQ,"IJLUR7SBUB Street, City, Country",Unpaid,532.6,Low,3,338I7UUY,8.08,Credit Card,"WWFU7U8HU2 Street, City, Country",2023-12-15,Out for Delivery
BDA78N0M4S,2023-12-10,Customer_ZE2FV,Processing,2023-12-20,Air,197.16,Product_K7FWH,OM7WP,Y3HW9LQM,"C6QSODQ216 Street, City, Country",Unpaid,957.52,Low,3,HSG4WTZ7,9.57,Bank Transfer,"TA3YRQWALI Street, City, Country",2023-12-10,Delivered
Z2TUZE3FY4,2023-12-10,Customer_H07KO,Delivered,2023-12-15,Sea,135.87,Product_Q54V3,59QRU,85SV46F8,"KRBIBFNTCS Street, City, Country",Paid,745.05,Medium,3,8XYM3XRF,18.22,Bank Transfer,"KMTH76V2HQ Street, City, Country",2023-12-15,In Transit
Z9FLCQH4Z1,2023-12-15,Customer_2MXYR,Processing,2023-12-20,Sea,437.6,Product_3XH8B,NZ0PN,LK7CHUIX,"LMX64ZJ0LI Street, City, Country",Unpaid,739.13,Low,2,FDB5HEWE,40.11,Bank Transfer,"0G9DZY5I2P Street, City, Country",2023-12-20,Out for Delivery
4B97UPBRG5,2023-12-01,Customer_O77QS,Delivered,2023-12-10,Air,477.26,Product_2J3QP,M0J7C,PUDHOF7X,"SSAMDWRWB1 Street, City, Country",Paid,762.42,Medium,4,KUIKLT57,14.28,PayPal,"QPVM3ZR2IS Street, City, Country",2023-12-15,Out for Delivery
1AKPFJCXNW,2023-12-10,Customer_EV3OE,Shipped,2023-12-15,Air,347.84,Product_EF1OO,KW01I,LUNZ76JL,"GRAJAO7FA1 Street, City, Country",Unpaid,166.73,Medium,5,T404Q3PX,45.26,Bank Transfer,"6BDXKKVDPO Street, City, Country",2023-12-10,Out for Delivery
LMM24FM76O,2023-12-10,Customer_QQ8QZ,Delivered,2023-12-20,Sea,226.12,Product_D9QPV,3VWKM,UFAABWC6,"MPW4DS7XQ9 Street, City, Country",Unpaid,92.61,Low,4,HR32Q3UL,12.04,PayPal,"VAQAH4RJO8 Street, City, Country",2023-12-10,Out for Delivery
7VCB1BXGQI,2023-12-15,Customer_NS0M6,Processing,2023-12-10,Land,472.83,Product_F8AHG,M65Y9,169X31CF,"DO6D2575FA Street, City, Country",Unpaid,851.8,Low,3,C55NSEO3,12.78,Bank Transfer,"NZHCGZRNIJ Street, City, Country",2023-12-20,In Transit
8A8BFYHASD,2023-12-10,Customer_56EFC,Delivered,2023-12-10,Land,89.33,Product_MY5HH,KX19V,V8C6Y169,"X2UJI1OBVB Street, City, Country",Unpaid,969.39,Medium,4,QRB3KO38,13.68,Credit Card,"8JOTAI2U0U Street, City, Country",2023-12-20,Delivered
8OU4B3R4YA,2023-12-15,Customer_VNRM1,Delivered,2023-12-20,Land,187.78,Product_N21M9,QWNFA,S9AFWEH2,"MV4U35339H Street, City, Country",Unpaid,365.11,High,3,TWMKBLUN,44.8,PayPal,"36C42IN5RQ Street, City, Country",2023-12-10,Delivered
315AS3H9E0,2023-12-10,Customer_2KR0P,Delivered,2023-12-10,Sea,289.91,Product_01VGU,F75R7,EAPIIN5D,"F23Y9IOLJE Street, City, Country",Unpaid,259.49,High,1,MTXIWF5F,45.12,Credit Card,"3VSKHF6E7M Street, City, Country",2023-12-10,Delivered
44G7T144ZT,2023-12-01,Customer_POOE7,Processing,2023-12-10,Air,174.15,Product_0DZFF,DJMO7,0MX5C2PH,"ZWRE382RP8 Street, City, Country",Unpaid,438.86,High,2,DJ9PFGJK,26.83,PayPal,"N0RB5UHD6J Street, City, Country",2023-12-15,Delivered
I5FTK9VMOE,2023-12-10,Customer_D9HSQ,Shipped,2023-12-20,Sea,268.05,Product_VWZPT,GVMOO,8IPD4F1Q,"BBVENI16L1 Street, City, Country",Unpaid,122.67,Medium,5,RYCXQGNZ,22.11,Credit Card,"ACZFT3SSQ7 Street, City, Country",2023-12-10,Delivered
W1K6Z63KFC,2023-12-15,Customer_TF6RI,Processing,2023-12-10,Air,27.05,Product_7DPQS,NPASU,98KI3MM9,"UDBX6QSNLW Street, City, Country",Unpaid,918.42,Low,2,K67V0KPO,48.19,PayPal,"1IZIT93I9G Street, City, Country",2023-12-15,Out for Delivery
M55A7GA7A5,2023-12-15,Customer_A2XPC,Delivered,2023-12-15,Air,477.67,Product_14Y63,BQZL3,YDOYC7C0,"0MN5KTPP3R Street, City, Country",Unpaid,958.4,Medium,5,0RF35876,8.83,Credit Card,"VCF7EEDCKR Street, City, Country",2023-12-20,In Transit
ILK1LWT96D,2023-12-01,Customer_GD38O,Shipped,2023-12-20,Sea,128.59,Product_RCBWM,HNT3Z,7K5I8ZQU,"I1LDMKC4DE Street, City, Country",Unpaid,203.73,Medium,4,2E0IPTAV,6.46,Bank Transfer,"PZW8119GQB Street, City, Country",2023-12-20,In Transit
